doctor_id,name,specialty,department
1,Meera Guha,Pulmonology,OPD
2,Bhavana Ahluwalia,Dermatology,Rehab
3,Anil Parashar,ENT,Emergency
4,Charu Datta,Nephrology,Surgery
5,Santosh Dasgupta,Pediatrics,Surgery
6,Shreya Saxena,Orthopedics,Emergency
7,Rajiv Sood,Nephrology,OPD
8,Shalini Murthy,Pediatrics,Rehab
9,Nandini Bajaj,Gastroenterology,Emergency
10,Varun Gupta,Orthopedics,ICU
11,Madhav Gill,Nephrology,Pathology
12,Mukul Mukhopadhyay,Dermatology,Diagnostics
13,Rita Reddy,Cardiology,Radiology
14,Ramesh Mukhopadhyay,Oncology,Emergency
15,Alok Shetty,Orthopedics,Emergency
16,Anmol Sen,ENT,Diagnostics
17,Tina Mookerjee,Pediatrics,ICU
18,Kartik Parashar,Dermatology,Emergency
19,Rita Roy,Oncology,Pathology
20,Indira Yadav,ENT,OPD
21,Arun Kapoor,Nephrology,Pathology
22,Aparna Tyagi,Pulmonology,OPD
23,Arun Saxena,Gastroenterology,Radiology
24,Deepa Naidu,ENT,Diagnostics
25,Veena Mathur,Oncology,ICU
26,Varun Luthra,Dermatology,Pathology
27,Rajat Tyagi,Cardiology,Diagnostics
28,Sunita Mukherjee,Orthopedics,Surgery
29,Kabir Bose,Neurology,Radiology
30,Aparna Mathur,Cardiology,Radiology
31,Sarita Kashyap,Dermatology,Surgery
32,Sanjay Mukhopadhyay,Cardiology,Diagnostics
33,Swati Sidhu,Dermatology,OPD
34,Kavita Deshmukh,Neurology,Diagnostics
35,Sneha Wadhwa,Neurology,ICU
36,Naveen Rangnathan,Cardiology,Pathology
37,Geeta Iyer,Pulmonology,Radiology
38,Suresh Swamy,Oncology,OPD
39,Geeta Gupta,Dermatology,Diagnostics
40,Kabir Nigam,Pediatrics,Surgery
41,Aditya Krishnan,Pulmonology,OPD
42,Naveen Srivastava,Pulmonology,ICU
43,Shyam Oberoi,Dermatology,Diagnostics
44,Rita Pandey,Neurology,Pathology
45,Sonia Patel,Nephrology,OPD
46,Meera Nigam,Pulmonology,OPD
47,Anita Reddy,Cardiology,Rehab
48,Veena Chauhan,Orthopedics,Diagnostics
49,Omkar Juneja,Orthopedics,Rehab
50,Nisha Tiwari,Pediatrics,OPD
51,Arun Bhat,ENT,OPD
52,Rajesh Dutta,Nephrology,Pathology
53,Rakesh Nair,ENT,Surgery
54,Santosh Purohit,Gastroenterology,Pathology
55,Ramesh Purohit,Oncology,Surgery
56,Deepa Iyer,Nephrology,Surgery
57,Saira Mookerjee,Orthopedics,OPD
58,Omkar Arora,Pulmonology,ICU
59,Ashok Bajaj,Pulmonology,Diagnostics
60,Nisha Datta,Cardiology,ICU
61,Rahul Roy,Pulmonology,Rehab
62,Harini Naidu,Neurology,Rehab
63,Priya Swamy,Gastroenterology,Diagnostics
64,Sudha Rawat,Neurology,Surgery
65,Parveen Upadhyay,Dermatology,ICU
66,Saira Hooda,Oncology,Surgery
67,Rahul Sehgal,Orthopedics,Surgery
68,Suresh Luthra,Neurology,ICU
69,Abhay Bajaj,Neurology,Pathology
70,Ananya Kulkarni,ENT,Diagnostics
71,Amit Khanna,Pediatrics,Rehab
72,Harini Chhabra,Neurology,Rehab
73,Akhil Chauhan,Cardiology,Emergency
74,Sonia Dubey,Pediatrics,Diagnostics
75,Manoj Anand,Gastroenterology,Surgery
76,Mahesh Pandey,ENT,Radiology
77,Ritu Chatterjee,Gastroenterology,Radiology
78,Manoj Wadhwa,Nephrology,Surgery
79,Saira Nambiar,Pulmonology,Radiology
80,Monika Chauhan,ENT,ICU
81,Neha Dutta,Cardiology,Diagnostics
82,Shalini Ahluwalia,Orthopedics,Radiology
83,Suresh Rawat,Orthopedics,Radiology
84,Naveen Kapoor,Pulmonology,Emergency
85,Akhil Datta,Orthopedics,Pathology
86,Meera Reddy,Pediatrics,Rehab
87,Manoj Banerjee,Pulmonology,Radiology
88,Hemant Saxena,Oncology,ICU
89,Veena Jain,Neurology,Emergency
90,Lakshmi Dubey,Neurology,Emergency
91,Kiran Bansal,Pulmonology,ICU
92,Rakesh Iyengar,Neurology,ICU
93,Charu Banerjee,Orthopedics,Emergency
94,Sneha Krishnan,Pulmonology,Surgery
95,Rita Deshmukh,Cardiology,OPD
96,Parveen Oberoi,Pediatrics,ICU
97,Suresh Mehta,Pulmonology,Diagnostics
98,Mahesh Mukherjee,Pediatrics,Diagnostics
99,Rajat Chatterjee,Dermatology,OPD
100,Charu Chowdhury,Nephrology,OPD
101,Chitra Sandhu,Nephrology,Emergency
102,Divya Saxena,Dermatology,Surgery
103,Mukul Nambiar,Pulmonology,Radiology
104,Mahesh Mukhopadhyay,Cardiology,Emergency
105,Ruchi Datta,Pulmonology,Surgery
106,Siddharth Naidu,Pulmonology,Emergency
107,Saira Anand,Nephrology,Diagnostics
108,Seema Luthra,Gastroenterology,OPD
109,Sanjay Saxena,Nephrology,Rehab
110,Amit Bajaj,Nephrology,Pathology
111,Vinita Das,Dermatology,Pathology
112,Dinesh Chauhan,Neurology,OPD
113,Nisha Dubey,Neurology,Pathology
114,Sarita Grover,Nephrology,OPD
115,Geeta Kapoor,Cardiology,ICU
116,Seema Rangnathan,Dermatology,Diagnostics
117,Priya Kashyap,Orthopedics,Surgery
118,Rahul Chauhan,Oncology,OPD
119,Ishita Swamy,Orthopedics,Diagnostics
120,Naveen Mathur,Dermatology,Diagnostics
121,Lakshmi Chakraborty,ENT,Pathology
122,Shalini Mukherjee,Nephrology,Surgery
123,Ananya Swamy,Cardiology,Pathology
124,Mahesh Chhabra,Nephrology,Rehab
125,Parveen Dutta,Neurology,OPD
126,Rohit Chhabra,Nephrology,ICU
127,Lata Naidu,Pulmonology,Emergency
128,Manoj Mehta,Nephrology,ICU
129,Krishna Mishra,ENT,OPD
130,Ramesh Tyagi,Pulmonology,Radiology
131,Lata Gill,Orthopedics,Emergency
132,Neha Bansal,Oncology,Radiology
133,Abhay Reddy,Nephrology,Radiology
134,Shreya Singh,ENT,Diagnostics
