doctor_name,department_name,total_appointments
Dr. Radha,Cardiology,2593
Dr. Kiran,Cardiology,2590
Dr. Arjun,Surgery,2579
Dr. Manish,Neurology,2559
Dr. Santosh,Emergency Medicine,2536
Dr. Mohan,Surgery,2536
Dr. Divya,Radiology,2531
Dr. Ganesh,Cardiology,2530
Dr. Lakshmi,Dermatology,2529
Dr. Vivek,Emergency Medicine,2516
Dr. Rekha,Cardiology,2509
Dr. Anil,Cardiology,2489
Dr. Ramesh,Radiology,2461
Dr. Meena,Nephrology,2455
Dr. Priya,General Medicine,2451
Dr. Sneha,ENT,2443
Dr. Rahul,Surgery,2433
Dr. Nandini,Radiology,2428
Dr. Kavya,ENT,2425
Dr. Sowmya,General Medicine,2407
